#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
# Legendary #;;;;;;;;;;;;;;
aluneth;Aluneth;Aluneth;Aluneth;;;;;;;;;;;x
queldelar_desc;The prismatic blade was forged by the five dragon flights together with the night elves and was wielded by the Dawnseeker family against the trolls. ;La lame prismatique a été forgée par les cinq vols draconiques avec les Elfes de la nuit et a été maniée par la famille Cherchelaube contre les Trolls et le Fléau.;Die prismatische Klinge wurde von den fünf Drachenschwärmen zusammen mit den Nachtelfen geschmiedet und wurde von der Familie Dawnseeker gegen die Trolle geführt. ;;;;;;;;;;;x
robe_of_the_warlock;Robe of a Warlock;Robe d'un démoniste;Robe eines Hexenmeisters;;;;;;;;;;;x
robe_of_the_warlock_desc;This robe, imbued with powerful magic, belongs to Drak'thul, disciple of Gul'dan and warlock of the Stormreaver clan.;Cette robe, imprégnée d'une puissante magie, appartient à Drak'thul, disciple de Gul'dan et démoniste du clan Foudreguerre.;Diese von mächtiger Magie durchdrungene Robe gehört Drak'thul, einem Schüler Gul'dans und Hexenmeister des Stormreaver-Clans.;;;;;;;;;;;x
spellbook_of_drekthar;Spellbook of Drek'thar;Livre de sorts de Drek'thar;Drek'thars Zauberbuch;;;;;;;;;;;x
spellbook_of_drekthar_desc;Drek'thar's Spellbook contains spells from Kirin Tor magices killed in battle. This ragged looking volume is covered with a carved wooden shell that remains sealed by interlocking teeth.;Le livre de sorts de Drek'thar contient les sorts des mages du Kirin Tor tombés au combat. Ce volume à l'aspect déchiqueté est recouvert d'une coquille en bois sculpté qui reste scellée par des dents qui s'emboîtent.;Drek'thars Zauberbuch enthält Zaubersprüche von Kirin Tor Magiern, die im Kampf getötet wurden. Dieser zerlumpt aussehende Band ist mit einer Hülle aus geschnitztem Holz bedeckt, die durch ineinander greifende Zähne versiegelt bleibt.;;;;;;;;;;;x
whispers_martial_4;Requiem of Devourers;Requiem des dévoreurs;Totenklage der Verschlinger;;;;;;;;;;;x
whispers_martial_4_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_stewardship_4;Visions of the Black Empire;Visions de l'Empire noir;Visionen des schwarzen Reiches;;;;;;;;;;;x
whispers_stewardship_4_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_intrigue_4;Murmurs of the Deep Below;Murmures des profondeurs;Raunen aus der Tiefe;;;;;;;;;;;x
whispers_intrigue_4_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_learning_4;Augurs of Eldritch Insights;Présages indicibles;Offenbarungen der unheimlichen Einblicke;;;;;;;;;;;x
whispers_learning_4_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
deathwhisper;Deathwhisper;Murmemort;Deathwhisper;;;;;;;;;;;x
deathwhisper_desc;After regaining her physical form, the Dark Lady seized this bow infused with powerful dark magic.;Après avoir retrouvé sa forme physique, la Dame noire s'est emparée de cet arc imprégné de puissante magie noire.;Nach ihrem Untod und der Wiedererlangung ihrer Gestalt ergriff die dunkle Lady diesen von mächtiger dunkler Magie durchdrungenen Bogen.;;;;;;;;;;;x
# Rare #;;;;;;;;;;;;;;
kama_sutra;A Steamy Romance Novel;Un roman d'amour torride;Ein schlüpfriger Romantikschmöker.;;Novela Romantica Torrida;;;;;;;;;x
steamy_romance_novel_1_string;A Steamy Romance Novel: Blue Moon;Un roman d'amour torride : La lune bleue;Ein schlüpfriger Romantikschmöker: Blaue Stunden;;Novela Romantica Torrida: Luna Azul;;;;;;;;;x
steamy_romance_novel_2_string;A Steamy Romance Novel: Savage Passions;Un roman d'amour torride : Passions sauvages;Ein schlüpfriger Romantikschmöker: Wilde Leidenschaft;;Novela Romantica Torrida: Pasiones Salvajes;;;;;;;;;x
steamy_romance_novel_3_string;A Steamy Romance Novel: Forbidden Love;Un roman d'amour torride : Un amour interdit;Ein schlüpfriger Romantikschmöker: Verbotene Liebe;;Novela Romantica Torrida: Amor Prohibido;;;;;;;;;x
steamy_romance_novel_4_string;A Steamy Romance Novel: Big Brass Bombs;Un roman d'amour torride : De grosses bombes cuivrées;Ein schlüpfriger Romantikschmöker: Dicke Messingdinger;;Novela Romantica Torrida: Grandes Bombas Metalicas;;;;;;;;;x
steamy_romance_novel_5_string;A Steamy Romance Novel: Waves of Desire;Un roman d'amour torride : Les vagues du désir;Ein schlüpfriger Romantikschmöker: Wellen der Sehnsucht;;Novela Romantica Torrida: Olas de Deseo;;;;;;;;;x
steamy_romance_novel_6_string;A Steamy Romance Novel: Hot and Misty;Un roman d'amour torride : Une brume d'amour;Ein schlüpfriger Romantikschmöker: Heiß und Feucht;;Novela Romantica Torrida: Calido y Neblinoso;;;;;;;;;x
steamy_romance_novel_7_string;A Steamy Romance Novel: Northern Exposure;Un roman d'amour torride : Passion boréale;Ein schlüpfriger Romantikschmöker: Nördliche Enthüllung;;Novela Romantica Torrida: Expuesto a Rasganorte;;;;;;;;;x
steamy_romance_novel_8_string;A Steamy Romance Novel;Un roman d'amour torride;Ein schlüpfriger Romantikschmöker.;;Novela Romantica Torrida;;;;;;;;;x
flute_of_accuracy;Flute of Accuracy;Flûte de précision d'Alleria;Flöte der Genauigkeit;;;;;;;;;;;x
flute_of_accuracy_desc;A wooden flute set in gold. It is unclear whether the flutes of accuracy were named in honour of the elven ranger Alleria or whether she was involved in their invention.;Une flûte en bois sertie d'or. On ne sait pas si les flûtes de précision ont été nommées en l'honneur de la forestière elfe Alleria ou si elle a participé à son invention.;Eine in Gold gefasste hölzerne Flöte. Es ist unklar, ob die Flöten der Genauigkeit zu Ehren der elfischen Waldläuferin Alleria benannt wurden oder ob sie an ihrer Erfindung beteiligt war.;;;;;;;;;;;x
crown_of_trollbanes;Crown of Stromgarde;Couronne de Stromgarde;Krone von Stromgarde;;;;;;;;;;;x
crown_of_trollbanes_desc;The Crown of Stromgarde, a family relic of the Trollbane dynasty to which the first king of Stromgarde was crowned, after the descendants of the great king Thoradin abdicated the throne under the pressure of the aristocracy of the collapsing empire.;La couronne de Stromgarde, une relique avec laquelle le premier roi de Stromgarde a été couronné. Elle est devenue une relique de la famille Trollemort après que les descendants de Thoradin ont abdiqué sous la pression de l'aristocratie de l'empire qui s'effondrait.;Die Krone von Stromgarde, eine Familienreliquie der Trollbane-Dynastie, mit der der erste König von Stromgarde gekrönt wurde, nachdem die Nachkommen des großen Königs Thoradin auf den Thron verzichtet hatten.;;;;;;;;;;;x
great_royal_sword;Great Royal Sword;Grande épée royale;Großes königliches Schwert;;;;;;;;;;;x
great_royal_sword_desc;This sword, the so called "blade of Stormwind", is a massive two-handed runeblade, wielded by Anduin Lothar until his death. It bears the lion of Stormwind near its guard.;Cette épée, appelée « Lame de Hurlevent », est une lame runique massive à deux mains, maniée par Anduin Lothar jusqu'à sa mort. Elle porte le lion de Hurlevent près de sa barre de parade.;Dieses Schwert, die so genannte „Klinge von Stormwind“, ist eine massive zweihändige Runenklinge, die von Anduin Lothar bis zu seinem Tod geführt wurde. Es trägt den Löwen von Stormwind in der Nähe seiner Parierstange.;;;;;;;;;;;x
legion_doomhorn;Legion Doomhorn;Cor-funeste de la Légion;Schreckenshorn der Legion;;;;;;;;;;;x
legion_doomhorn_desc;The inside of a doom horn looks like it has been blackened with a flame, but feels smooth and cool. The sound of this horn freezes the blood in the veins of the enemies.;L'intérieur d'une corne funeste semble avoir été noirci par une flamme, mais il est lisse et frais. Le son de cette corne fige le sang dans les veines des ennemis.;Das Innere eines Schreckenshorns wirkt wie mit einer Flamme geschwärzt, fühlt sich aber glatt und kühl an. Der Ton dieses Horns lässt das Blut in den Adern der Feinde gefrieren.;;;;;;;;;;;x
libram_of_devoutness_03;Libram of Devoutness;Libram de dévotion;Foliant der Frömmigkeit;;;;;;;;;;;x
libram_of_devoutness_03_desc;This libram is a symbol of devoutness to the ideals of the Holy Light. Its owner proves to be a faithful student of the Light and a righteous defender.;Ce libram est un symbole de dévotion aux idéaux de la Lumière sacrée. Son propriétaire s'avère être un étudiant fidèle de la Lumière et son juste défenseur.;Dieser Foliant ist ein Symbol der Frömmigkeit vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als treuer Schüler und rechtschaffener Verteidiger des Lichts.;;;;;;;;;;;x
libram_of_guardianship_03;Libram of Guardianship;Libram du gardien;Foliant der Bewahrung;;;;;;;;;;;x
libram_of_guardianship_03_desc;This libram is a symbol of guardianship before the ideals of the Holy Light. Its owner proves to be a strong and righteous fighter for the Light.;Ce libram est un symbole de protection devant les idéaux de la Sainte Lumière. Son propriétaire s'avère être un combattant fort et juste de la Lumière.;Dieser Foliant ist ein Symbol der Bewahrung vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als starker und gerechter Kämpfer für das Licht.;;;;;;;;;;;x
libram_of_reckoning_03;Libram of Reckoning;Libram de reconnaissance;Foliant der Abrechnung;;;;;;;;;;;x
libram_of_reckoning_03_desc;This libram is a symbol of reckoning before the ideals of the Holy Light. Its owner proves to be a strong fighter for the Light.;Ce libram est un symbole de reconnaissance devant les idéaux de la Lumière sacrée. Son propriétaire s'avère être un ardent défenseur de la Lumière.;Dieser Foliant ist ein Symbol der Abrechnung vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als starker Kämpfer für das Licht.;;;;;;;;;;;x
libram_of_righteousness_03;Libram of Righteousness;Libram de vertu;Foliant der Rechtschaffenheit;;;;;;;;;;;x
libram_of_righteousness_03_desc;This libram is a symbol of righteousness before the ideals of the Holy Light. Its owner proves to be a faithful student and righteous fighter for the Light.;Ce libram est un symbole de justice devant les idéaux de la Sainte Lumière. Son propriétaire s'avère être un étudiant fidèle et un combattant vertueux de la Lumière.;Dieser Foliant ist ein Symbol der Rechtschaffenheit vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als treuer Schüler und rechtschaffener Kämpfer für das Licht.;;;;;;;;;;;x
lights_vengeance;Light's Vengeance;;Lichträcher;;;;;;;;;;;x
lights_vengeance_desc;Lordaeron's crownprince acquired this warhammer at his ceremony of admission in the Cathedral of Light in Stormwind, when he joined the ranks of the Silver Hand. Its wielder will find no peace until [Prev.GetHerHis] religious enemies lie dead before [Prev.GetHerHim].;;Lordaerons Kronprinz erhielt diesen Hammer, als er seine Initiation in der Kathedrale des Lichts in Stormwind abschloss und sich den Reihen der Silbernen Hand anschloss. Sein[Prev.GeteFemale] Träger[Prev.GetinFemale] wird keinen Frieden finden, bis seine Feinde tot vor [Prev.Getihmihr] liegen.;;;;;;;;;;;x
mantle_of_gorak_tul;Mantle of Gorak Tul;;Gorak Tuls Mantel;;;;;;;;;;;x
mantle_of_gorak_tul_desc;A shimmering leather mantle with feathers on the outside that has survived the centuries unscathed thanks to dark magic. It is property of the one true ruler of Kul Tiras.;;Ein schimmernder, lederner Mantel, der die Jahrhunderte dank dunkler Magie unbeschadet überstanden hat. Eigentum des einzig wahren Herrschers von Kul Tiras.;;;;;;;;;;;x
lionhorn_of_stormwind;Lion Horn of Stormwind;Corne du lion de Hurlevent;Löwenhorn von Stormwind;;;;;;;;;;;x
lionhorn_of_stormwind_desc;The powerful sound of this horn makes the hearts of the soldiers beat faster.;Le son puissant de cette corne fait battre plus fort le cœur des soldats.;Der kraftvolle Klang dieses Horns lässt die Herzen der Soldaten höher schlagen.;;;;;;;;;;;x
justice_gaze;Justice Gaze;;Blick der Gerechtigkeit;;;;;;;;;;;x
justice_gaze_desc;A masterfully crafted winged helmet made of bronze and steel. May its wearer walk forever in the Light.;;Ein meisterhaft gefertigter, geflügelter Helm aus Bronze und Stahl. Möge sein Träger auf ewig im Lichte wandeln.;;;;;;;;;;;x
prosthetic_blade_hand;Blade Hand;Lame-bras;Klingenhand;;;;;;;;;;;x
prosthetic_blade_hand_desc;This character replaced their hand with a blade that may prove useful in battle, as it is no worse than holding a blade.;Ce personnage a remplacé sa main par une lame qui peut s'avérer utile au combat, car ce n'est pas plus mauvais que de tenir une lame.;Dieser Charakter hat [From.GetHerHis]e Hand durch eine Klinge ersetzt, die sich im Kampf als nützlich erweisen dürfte.;;;;;;;;;;;x
remnant_of_caer_darrow;Remnants of Caer Darrow;Restes de Caer Darrow;Überreste von Caer Darrow;;;;;;;;;;;x
remnant_of_caer_darrow_desc;The remains of the rune stone of Caer Darrow.;Les restes de la pierre runique de Caer Darrow.;Die Überreste des Runensteins von Caer Darrow.;;;;;;;;;;;x
ring_of_kaldorei_empire;Ring of the Kaldorei Empire;Anneau de l'Empire kaldorei;Ring des Kaldorei-Imperiums;;;;;;;;;;;x
ring_of_kaldorei_empire_desc;The Ring of the Kaldorei Empire.;L'anneau de l'Empire kaldorei.;Der Ring des Kaldorei-Imperiums.;;;;;;;;;;;x
ring_of_trollbanes;Trollbane Sigil Ring;Anneau runique des Trollemort;Siegelring der Trollbanes;;;;;;;;;;;x
ring_of_trollbanes_desc;This golden ring decorated with precious stones is a direct proof of the incredible wealth of the Trollbane family, which they have acquired over many centuries by owning a multitude of mines in the Arathi highlands.;Une bague en or sertie de gemmes précieuses. Cette bague est une preuve directe de l'incroyable richesse de la famille Trollemort, qu'elle a acquise au cours des nombreux siècles durant lesquels elle possédait une multitude de mines dans les hautes-terres d'Arathi.;Dieser mit Edelsteinen verzierte goldene Ring ist ein direkter Beweis für den unglaublichen Reichtum der Trollbane-Familie, den sie sich über viele Jahrhunderte hinweg durch den Besitz einer Vielzahl von Minen im Arathi-Hochland erworben haben.;;;;;;;;;;;x
runeblade_blood_3;Excellent Blood Runeblade;;Ausgezeichnete Runenklinge des Bluts;;;;;;;;;;;x
runeblade_blood_3_desc;An excellent blood runeblade.;;Eine ausgezeichnete Runenklinge des Bluts.;;;;;;;;;;;x
runeblade_frost_3;Excellent Frost Runeblade;;Ausgezeichnete Runenklinge des Frosts;;;;;;;;;;;x
runeblade_frost_3_desc;An excellent frost runeblade.;;Eine ausgezeichnete Runenklinge des Frosts.;;;;;;;;;;;x
runeblade_unholy_3;Excellent Unholy Runeblade;;Ausgezeichnete Unheilige Runenklinge;;;;;;;;;;;x
runeblade_unholy_3_desc;An excellent unholy runeblade.;;Eine ausgezeichnete unheilige Runenklinge.;;;;;;;;;;;x
scourge_bone_chimes;Scourge Bone Chimes;Carillon osseux du Fléau;Knochenglocken der Geißel;;;;;;;;;;;x
scourge_bone_chimes_desc;A set of chimes made of human and animal bones connected by cords that glow with an eerie luminescence.;Un ensemble de carillons faits d'os humains et animaux reliés par des cordons qui brillent d'une étrange luminescence.;Ein Satz von Glocken aus menschlichen und tierischen Knochen, die durch Schnüre verbunden sind und in einem unheimlichen Glanz erstrahlen.;;;;;;;;;;;x
warsong_battle_drums;Warsong Wardrums;Tambours de guerre des Chanteguerres;Warsong-Kriegstrommeln;;;;;;;;;;;x
warsong_battle_drums_desc;All allies who hear the inspiring rhythms of this drum feel their hearts beat faster and their hands close tighter around their weapons.;Tous les alliés qui entendent les rythmes inspirants de ce tambour sentent leur cœur battre plus vite et leurs mains se resserrer autour de leurs armes.;Alle Verbündeten, die die inspirierenden Rhythmen dieser Trommel vernehmen, spüren, wie ihre Herzen höher schlagen und ihre Hände sich fester um ihre Waffen schließen.;;;;;;;;;;;x
whispers_martial_3;Requiem of Devourers;Requiem des dévoreurs;Totenklage der Verschlinger;;;;;;;;;;;x
whispers_martial_3_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_stewardship_3;Visions of the Black Empire;Visions de l'Empire noir;Visionen des schwarzen Reiches;;;;;;;;;;;x
whispers_stewardship_3_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_intrigue_3;Murmurs of the Deep Below;Murmures des profondeurs;Raunen aus der Tiefe;;;;;;;;;;;x
whispers_intrigue_3_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_learning_3;Augurs of Eldritch Insights;Présages indicibles;Offenbarungen der unheimlichen Einblicke;;;;;;;;;;;x
whispers_learning_3_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
naga_trident;Naga Trident;;Naga-Dreizack;;;;;;;;;;;x
naga_trident_desc;Forged in the legendary waterforges of Nazjatar.;;Geschmiedet in den legendären Wasserschmieden von Nazjatar.;;;;;;;;;;;x
naga_scimitar;Naga Scimitar;;Naga-Krummsäbel;;;;;;;;;;;x
naga_scimitar_desc;Forged in the legendary waterforges of Nazjatar.;;Geschmiedet in den legendären Wasserschmieden von Nazjatar.;;;;;;;;;;;x
naga_mace;Naga Mace;;Naga-Streitkolben;;;;;;;;;;;x
naga_mace_desc;Forged in the legendary waterforges of Nazjatar.;;Geschmiedet in den legendären Wasserschmieden von Nazjatar.;;;;;;;;;;;x
naga_scepter;Naga Scepter;;Naga-Szepter;;;;;;;;;;;x
naga_scepter_desc;Made by a powerful and terrible naga sea witch.;;Hergestellt von einer mächtigen und schrecklichen Naga-Meerhexe.;;;;;;;;;;;x
statue_of_azshara;Statue of Azshara;;Statue von Azshara;;;;;;;;;;;x
statue_of_azshara_desc;Small statue portraying the magnificent visage of Her Radiance Queen Azshara.;;Eine kleine Statue, die das prächtige Antlitz Ihrer strahlenden Majestät Königin Azshara darstellt.;;;;;;;;;;;x
queens_decree;Queen's Decree;;Dekret der Königin;;;;;;;;;;;x
queens_decree_desc;Numinous words of Her Radiance Queen Azshara, Queen of the Naga and Empress of Nazjatar.;;Klangvolle Worte Ihrer strahlenden Majestät Königin Azshara, Königin der Naga und Kaiserin von Nazjatar.;;;;;;;;;;;x
eternal_bouquet;Eternal Bouquet;;Ewiger Strauß;;;;;;;;;;;x
eternal_bouquet_desc;Made of the most beautiful flowers from the depths of the Great Sea.;;Gemacht aus den schönsten Blumen aus den Tiefen des Großen Meeres.;;;;;;;;;;;x
taxidermied_murloc;Taxidermied Murloc;;Präparierter Murloc;;;;;;;;;;;x
taxidermied_murloc_desc;This murloc has been frozen in time with powerful chronomancy spell and is still alive after hundreds of years.;;Dieser Murloc wurde mit einem mächtigen Chronomantie-Zauber in der Zeit eingefroren und ist auch nach hunderten von Jahren noch am Leben.;;;;;;;;;;;x
# Uncommon #;;;;;;;;;;;;;;
band_of_the_ranger_general;Band of the Ranger General;;Ring des Waldläufergenerals;;;;;;;;;;;x
band_of_the_ranger_general_desc;This ring of gold and mithril, with an embedded topaz, was given to the Ranger General of Quel'Thalas to always remember his duty.;;Dieser Ring aus Gold und Mithril, mit einem eingefassten Topas, wurde dem Waldläufergeneral von Quel'Thalas verliehen, damit er stets an seine Pflicht erinnert wird.;;;;;;;;;;;x
belt_of_lothar;Belt of Anduin Lothar;Ceinture d'Anduin Lothar;Gürtel von Anduin Lothar;;;;;;;;;;;x
belt_of_lothar_desc;The belt of the famed Lion of Stormwind, a great warrior and general under king Llane Wrynn, who leads the armies of Stormwind against many threats and foes.;La ceinture du célèbre Lion de Hurlevent, un grand guerrier et général qui, sous le règne de Llane Wrynn, dirigea les armées de Hurlevent contre de nombreuses menaces et ennemis.;Der Gürtel des Löwen von Stormwind, eines herausragenden Kriegers und Generals unter König Llane Wrynn, der die Armeen Stormwinds gegen viele Feinde und Bedrohungen führte.;;;;;;;;;;;x
cloak_of_trollbanes;Mantle of Stromgarde;Manteau de Stromgarde;Mantel von Stromgarde;;;;;;;;;;;x
cloak_of_trollbanes_desc;This mantle used to be a part of the once great Arathian Empire's flag, which the ancestors of the Trollbanes' preserved and wore as a cloak after the empire's fall.;Un vestige du drapeau de l'ancien empire arathorien, que les ancêtres des Trollemort ont conservé et porté comme manteau après la chute de l'empire.;Dieser Mantel war früher Teil der einst großen Flagge des arathorischen Reiches, die von den Vorfahren der Trollbanes bewahrt und nach dem Fall des Reiches als Umhang getragen wurde.;;;;;;;;;;;x
gauntlets_of_trollbanes;Ignaeus' Gauntlets;Gantelets d'Ignaeus;Ignaeus Handschuhe;;;;;;;;;;;x
gauntlets_of_trollbanes_desc;This family relic of the Trollbane dynasty was worn by many outstanding generals. Since Ignaeus Trollbane, military education has been a family pride.;Cette relique familiale de la dynastie des Trollemort était portée par de nombreux généraux remarquables. Depuis Ignace Trollemort, l'éducation militaire est une fierté familiale.;Diese Familienreliquie der Trollbane-Dynastie wurde von vielen hervorragenden Generälen getragen. Seit Ignaeus Trollbane ist die militärische Bildung ein Familienstolz.;;;;;;;;;;;x
libram_of_devoutness_02;Libram of Devoutness;Libram de dévotion;Foliant der Frömmigkeit;;;;;;;;;;;x
libram_of_devoutness_02_desc;This libram is a symbol of devoutness to the ideals of the Holy Light. Its owner proves to be a faithful student of the Light and a righteous defender.;Ce libram est un symbole de dévotion aux idéaux de la Lumière sacrée. Son propriétaire s'avère être un étudiant fidèle de la Lumière et son juste défenseur.;Dieser Foliant ist ein Symbol der Frömmigkeit vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als treuer Schüler und rechtschaffener Verteidiger des Lichts.;;;;;;;;;;;x
libram_of_guardianship_02;Libram of Guardianship;Libram du gardien;Foliant der Bewahrung;;;;;;;;;;;x
libram_of_guardianship_02_desc;This libram is a symbol of guardianship before the ideals of the Holy Light. Its owner proves to be a strong and righteous fighter for the Light.;Ce libram est un symbole de protection devant les idéaux de la Sainte Lumière. Son propriétaire s'avère être un combattant fort et juste de la Lumière.;Dieser Foliant ist ein Symbol der Bewahrung vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als starker und gerechter Kämpfer für das Licht.;;;;;;;;;;;x
libram_of_reckoning_02;Libram of Reckoning;Libram de reconnaissance;Foliant der Abrechnung;;;;;;;;;;;x
libram_of_reckoning_02_desc;This libram is a symbol of reckoning before the ideals of the Holy Light. Its owner proves to be a strong fighter for the Light.;Ce libram est un symbole de reconnaissance devant les idéaux de la Lumière sacrée. Son propriétaire s'avère être un ardent défenseur de la Lumière.;Dieser Foliant ist ein Symbol der Abrechnung vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als starker Kämpfer für das Licht.;;;;;;;;;;;x
libram_of_righteousness_02;Libram of Righteousness;Libram de vertu;Foliant der Rechtschaffenheit;;;;;;;;;;;x
libram_of_righteousness_02_desc;This libram is a symbol of righteousness before the ideals of the Holy Light. Its owner proves to be a faithful student and righteous fighter for the Light.;Ce libram est un symbole de justice devant les idéaux de la Sainte Lumière. Son propriétaire s'avère être un étudiant fidèle et un combattant vertueux de la Lumière.;Dieser Foliant ist ein Symbol der Rechtschaffenheit vor den Idealen des heiligen Lichts. Sein Besitzer erweist sich als treuer Schüler und rechtschaffener Kämpfer für das Licht.;;;;;;;;;;;x
runeblade_blood_2;Impressive Blood Runeblade;;Beeindruckende Runenklinge des Bluts;;;;;;;;;;;x
runeblade_blood_2_desc;An impressive blood runeblade.;;Eine beeindruckende Runenklinge des Bluts.;;;;;;;;;;;x
runeblade_frost_2;Impressive Frost Runeblade;;Beeindruckende Runenklinge des Frosts;;;;;;;;;;;x
runeblade_frost_2_desc;An impressive frost runeblade.;;Eine beeindruckende Runenklinge des Frosts.;;;;;;;;;;;x
runeblade_unholy_2;Impressive Unholy Runeblade;;Beeindruckende Unheilige Runenklinge;;;;;;;;;;;x
runeblade_unholy_2_desc;An impressive unholy runeblade.;;Eine beeindruckende unheilige Runenklinge.;;;;;;;;;;;x
tabard_of_the_silverhand;Tabard of the Silver Hand;Tabard de la Main d'argent;Wappenrock der Silberhand;;;;;;;;;;;x
tabard_of_the_silverhand_desc;May you always bring light, even into the darkest of places.;Puissiez-vous toujours apporter la lumière dans les ténèbres.;„Mögest du immer Licht an dunkle Orte bringen.“;;;;;;;;;;;x
voodoo_doll;Voodoo Doll;Poupée vaudou;Voodoopuppe;;;;;;;;;;;x
voodoo_doll_desc;Voodoo Doll.;Une poupée vaudou;Voodoopuppe.;;;;;;;;;;;x
whispers_martial_2;Requiem of Devourers;Requiem des dévoreurs;Totenklage der Verschlinger;;;;;;;;;;;x
whispers_martial_2_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_stewardship_2;Visions of the Black Empire;Visions de l'Empire noir;Visionen des schwarzen Reiches;;;;;;;;;;;x
whispers_stewardship_2_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_intrigue_2;Murmurs of the Deep Below;Murmures des profondeurs;Raunen aus der Tiefe;;;;;;;;;;;x
whispers_intrigue_2_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
whispers_learning_2;Augurs of Eldritch Insights;Présages indicibles;Offenbarungen der unheimlichen Einblicke;;;;;;;;;;;x
whispers_learning_2_desc;When someone holds this book, dark whispers creep into the corner of their mind...;Quand quelqu'un tient ce livre, de sombres murmures se glissent dans le coin de son esprit...;Wenn jemand dieses Buch in der Hand hält, schleicht sich ein dunkles Flüstern in die Winkel [From.GetHerHis]es Geistes...;;;;;;;;;;;x
# Common #;;;;;;;;;;;;;;
ancient_kernel;Ancients Seed;Graines des Anciens;Urtum-Setzling;;;;;;;;;;;x
ancient_kernel_desc;The seed of an ancient.;La graine d'un Ancien.;Der Setzling eines Urtums.;;;;;;;;;;;x
argus_tabard;Tabard of the Hand of Argus;;Wappenrock der Hand von Argus;;;;;;;;;;;x
argus_tabard_desc;The tabard of the paladin order of the draenei. Is it done? Are we victorious? May the world never end!;;Der Wappenrock des Paladinordens der Draenei. Ist es vollbracht? Sind wir siegreich? Auf dass die Welt niemals untergehe!;;;;;;;;;;;x
libram_of_devoutness_01;Libram of Devoutness;Libram de dévotion;Foliant der Frömmigkeit;;;;;;;;;;;x
