#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLE_WCCLS_1;Education Initiated;Apprentissage débuté;Ausbildung begonnen;;;;;;;;;;;x
EVTDESC_WCFEL_10_case_02;You feel the Fel magic consuming your body. Your soul, like that of any demon, is now tied to the Twisting Nether. You have nothing to lose - you are no longer mortal, and the shell of your body is no longer important to your survival.;Vous sentez la magie gangrenée qui consomme votre corps. Votre âme, comme celle de n'importe quel démon, est maintenant liée au Néant distordu. Vous n'avez rien à perdre : vous n'êtes plus mortel, et l'enveloppe de votre corps n'est plus importante pour votre survie.;Ihr spürt, dass die Fel-Magie Euren Körper aufzehrt. Eure Seele ist nun, wie die Seelen aller Dämonen, an den wirbelnden Nether gebunden. Ihr habt nichts zu verlieren, Ihr seid nicht länger sterblich und Eure körperliche Hülle ist für Eure Überleben nicht mehr so wichtig.;;;;;;;;;;;x
EVTOPTA_WCFEL_10;I'm invincible!;Je suis invincible !;Ich bin unbesiegbar!;;;;;;;;;;;x
EVTDESC_WCFEL_20;The harmful influence of Fel magic begins to diminish, but you still feel the traces of its sinister magic within you. All those changes, all those wounds that it caused, will remain with you and your descendants forever, as punishment for past sins.;L'influence néfaste de la magie gangrenée commence à diminuer, mais vous sentez toujours les traces de sa sinistre magie en vous. Tous ces changements, toutes ces blessures qu'elle a causées, resteront en vous et vos descendants pour toujours, en punition des péchés passés.;Der verderbliche Einfluss der Fel-Magie beginnt nachzulassen, aber Ihr spürt immer noch die Auswirkungen dieser unheimlichen Magie. All diese Veränderungen, all die Wunden, die sie Euch zugefügt hat, werden für immer an Euch und Euren Nachkommen haften bleiben, wie als Bestrafung für vergangene Sünden.;;;;;;;;;;;x
EVTDESC_WCFEL_100;There has been too much flow of Fel magic into your body lately, filling your tissues and bones with its corrupting influence like an empty vessel. If you do not isolate yourself, its corrupting presence will continue to grow.;Il y a eu trop de flux de magie gangrenée dans votre corps ces derniers temps, remplissant vos tissus et vos os de son influence corruptrice comme un récipient vide. Si vous ne vous isolez pas, sa présence corruptrice continuera à se développer.;In letzter Zeit ist der Strom von teuflischer Fel-Magie zu viel für Euren Körper geworden. Die dämonische Energie korrumpiert Euer Fleisch und Eure Knochen und füllt Euch aus wie ein leeres Gefäß. Wenn Ihr Euch nicht abschirmt, wird die Verderbnis in Euch weiter wachsen.;;;;;;;;;;;x
EVTDESC_WCFEL_110;You are no longer meddling with the dangerous magic of Fel. It gradually leaves your body, freeing you from its harmful influence and leaving only painful reminder and wounds behind.;Vous ne vous mêlez plus à la dangereuse magie gangrenée. Elle quitte progressivement votre corps, vous libérant de son influence néfaste et ne laissant derrière elle que des souvenirs et des blessures douloureuses.;Ihr bedient Euch nicht länger der gefährlichen Fel-Magie. Langsam aber sicher verlässt sie Euren Körper und Ihr könnt Euch von ihrem verderblichen Einfluss befreien. Mit der Zeit werdet Ihr Euch ihrer beinahe vollständig entledigt haben und nur noch schmerzhafte Erinnerungen und Wunden werden bleiben.;;;;;;;;;;;x
EVTDESC_WCFEL_9960;Your scouts found a well of strange energy in the forest. They say that it emits very dark, but powerful magic. Its green water will give power to the one who will drinks from it, but doing so might negatively affect mind and body.;Vos éclaireurs ont trouvé un puits d'énergie étrange dans la forêt. Ils disent qu'il émet une magie très sombre, mais puissante. Son eau verte donnera du pouvoir à celui qui y boira, mais cela pourrait avoir un effet négatif sur l'esprit et le corps.;Eure Kundschafter haben im Wald einen Brunnen gefunden, der vor seltsamer Energie pulsiert. Viele sagen, dass es sich um eine dunkle, sehr mächtige Magie handelt. Das grünes Wasser verleiht denen, die von ihm trinken, Kraft, es kann aber auch ihren Geist und Körper beeinflussen.;;;;;;;;;;;x
EVTOPTA_WCFEL_9960;I'll take this power for myself.;Je vais m'accaparer ce pouvoir.;Ich beanspruche diese Kraft für mich selbst.;;;;;;;;;;;x
EVTOPTB_WCFEL_9960;I'll share this power with my people.;Je partagerai ce pouvoir avec mon peuple.;Ich teile diese Kraft mit meinem Volk.;;;;;;;;;;;x
EVTOPTB_WCFEL_9960_tooltip;All your vassals and courtiers receive an offer to drink the green liquid.\n;Tous vos vassaux et courtisans reçoivent une proposition pour boire le liquide vert.\n;All Eure Vasallen und Höflinge erhalten das Angebot, von dieser grünen Flüssigkeit zu trinken.\n;;;;;;;;;;;x
EVTOPTC_WCFEL_9960;Bury the well and forget about this place.;Enterrez le puits et oubliez cet endroit.;Vergrabt den Brunnen und vergesst den Platz.;;;;;;;;;;;x
EVTDESC_WCFEL_9961;Your suzerain, [From.GetTitledFirstName], invites you to drink some strange green liquid. Some say that it emits very dark but powerful magic. Its green waters will give power to the one who drinks of them, but may also bear significant detrimental affects upon your mind.;Votre suzerain, [From.GetTitledFirstName], vous invite à boire un étrange liquide vert. Certains disent qu'il dégage une magie très noire mais puissante. Ses eaux vertes donneront du pouvoir à celui qui en boit, mais peuvent aussi avoir des effets néfastes importants sur votre esprit.;Euer Lehnsherr [From.GetTitledFirstName] lädt Euch ein, von einer seltsamen grünen Flüssigkeit zu trinken. Manche sagen, dass eine dunkle, mächtige Magie von ihr ausgeht. Diese Flüssigkeit wird denen, die davon trinken, große Kraft verleihen, sie kann aber auch den Körper und Geist beeinflussen.;;;;;;;;;;;x
EVTOPTA_WCFEL_9961;I accept this offer.;J'accepte cette offre.;Ich nehme dankend an.;;;;;;;;;;;x
EVTOPTB_WCFEL_9961;It's best that I refuse.;Il vaut mieux que je refuse.;Ich denke, ich lehne besser ab.;;;;;;;;;;;x
EVTDESC_WCFEL_201_case_01;Dark energy has poisoned the lands of [From.GetName]. The soil is painted gray, and a thick fog shrouds the lands. It can easily disorientate anyone who stays in it... and they may never return home alive.;L'énergie noire a empoisonné les terres de [From.GetName]. Le sol est teint en gris, et un épais brouillard recouvre les terres. Il peut facilement désorienter tous ceux qui y séjournent... et ceux-là risquent de ne jamais rentrer chez eux vivants.;Dunkle Energie hat das Land der Provinz [From.GetName] vergiftet. Die Erde dieser Provinz ist ergraut und dichte Nebel bedecken das Land. Wer sich in diesen Nebeln verirrt, kehrt möglicherweise niemals lebend nach Hause zurück.;;;;;;;;;;;x
EVTDESC_WCFEL_170;Your past gods turned their back on you after the Fel magic corrupted you. Poisoning your soul, awakening your cruelty and craving for violence, it slowly defiles you from within.;Vos dieux du passé vous ont tourné le dos après que la magie gangrenée vous a corrompu. Empoisonnant votre âme, réveillant votre cruauté et votre soif de violence, elle vous souille lentement de l'intérieur.;Eure bisherigen Götter haben sich von Euch abgewandt, nachdem die Fel-Magie Euch verdorben hat. Eure Seele vergiftend, Eure bestialische Grausamkeit beschwörend und nach Gewalt verlangend verdirbt sie Euch langsam von innen heraus.;;;;;;;;;;;x
EVTOPTA_WCFEL_170;There is another way.;Il existe un autre moyen.;Es muss einen anderen Weg geben.;;;;;;;;;;;x
EVTOPTB_WCFEL_170;I will do anything to quench my thirst.;Je ferai tout pour étancher ma soif.;Ich gebe mein bestes, um den Durst zu löschen.;;;;;;;;;;;x
EVTDESC_WCFEL_201_case_02;Dark energy has burnt out the lands of [From.GetName]. The terrain of this province turns to red desert, devoid of any sign of life, whilst streams of dark magic permeate the skin and bones of any traveler that dares to stray here.;L'énergie noire a brûlé les terres de [From.GetName]. La terre de cette province se transforme en désert rouge, dépourvu de tout signe de vie, tandis que des flots de magie noire imprègnent la peau et les os de tout voyageur qui ose s'y aventurer.;Dunkle Energie hat die Provinz [From.GetName] verbrannt. Die Erde in dieser Provinz wurde in eine rote Ödnis bar jeden Lebens verwandelt, während Ströme dunkler Magie die Haut und Knochen eines jeden Reisenden durchdringen, der es wagt, hierher zu kommen.;;;;;;;;;;;x
EVTDESC_WCFEL_201_case_03;Fel energy has left unrecoverable scars in the province of [From.GetName]. In this area, the line between the Twisting Nether and the real world has faded. Through the tainted gaps, a colossal amount of Fel magic bleeds into Azeroth.;L'énergie gangrenée a laissé des cicatrices irréparables dans la province de [From.GetName]. Dans cette région, la frontière entre le Néant distordu et le monde réel s'est estompée. À travers les trous entachés, une quantité colossale de magie gangrenée se déverse dans Azeroth.;Fel-Magie hat in der Provinz [From.GetName] nicht wiederherstellbare Narben hinterlassen. In dieser Provinz ist die Grenze zwischen dem wirbelnden Nether und der realen Welt zusammengebrochen. Durch diese verdorbene Kluft dringt eine enorme Menge an Fel-Magie nach Azeroth.;;;;;;;;;;;x
EVTDESC_WCFEL_206_case_01;The land of the province of [From.GetName] is beginning to recover from its wounds, and is no longer under the harmful influence of dark energy.;La terre de la province de [From.GetName] commence à se remettre de ses blessures, et n'est plus sous l'influence néfaste de l'énergie noire.;Die Provinz [From.GetName] beginnt sich von seinen Wunden zu erholen, nun da der verderbliche Einfluss der dunklen Energie nachlässt.;;;;;;;;;;;x
EVTDESC_WCFEL_206_case_02;The land of the province of [From.GetName] has recovered from its wounds, and is no longer under the harmful influence of dark energy.;La terre de la province de [From.GetName] s'est remise de ses blessures, et n'est plus sous l'influence néfaste de l'énergie noire.;Die Provinz [From.GetName] hat sich vollständig erholt und steht nicht länger unter dem Einfluss der dunklen Energie.;;;;;;;;;;;x
EVTTITLE_WCCLS_9970;The Voice in Your Head;La voix dans votre tête;Die Stimme in Eurem Kopf;;;;;;;;;;;x
EVTDESC_WCFEL_9970;Recently, you have begun to hear a malevolent voice in your head. This creature says that it is from another world and asks you to carry out a mysterious ritual on its behalf. Perhaps it is worth considering making a deal with this creature. The mental connection alone is enough to feel the power that this strange entity possesses.;Récemment, vous avez commencé à entendre une voix malveillante dans votre tête. Cette créature, qui dit venir d'un autre monde, vous demande d'effectuer un mystérieux rituel en son nom. Peut-être devriez-vous conclure un accord avec cette créature. La connexion mentale seule suffit à vous remplir de la puissance de cette étrange entité.;In letzter Zeit hört Ihr zunehmend eine düstere Stimme in Eurem Kopf. Diese Kreatur aus einer anderen Welt, wie sie sich selbst nennt, bittet Euch, ein mysteriöses Ritual für sie durchzuführen. Vielleicht solltet Ihr wirklich einen Pakt mit dieser Kreatur schließen. Allein durch die mentale Verbindung spürt Ihr, wie Ihr mit der Kraft dieses seltsamen Wesens erfüllt werdet.;;;;;;;;;;;x
EVTOPTA_WCFEL_9970;I should shield my mind from this dark creature's influence.;Je devrais protéger mon esprit de l'influence de cette sombre créature.;Ich sollte meinen Geist vor dem Einfluss dieser finsteren Kreatur abschirmen.;;;;;;;;;;;x
stops_the_event_chain;Stops the event chain.\n;Arrête la chaîne des évènements.\n;Beendet die Ereigniskette.\n;;;;;;;;;;;x
EVTOPTB_WCFEL_9970;I just need to tough it out.;J'ai seulement besoin de m'endurcir.;Ich muss nachgeben.;;;;;;;;;;;x
EVTOPTC_WCFEL_9970;A ritual? That's an interesting idea…;Un rituel ? C'est une idée intéressante...;Ein Ritual? Das ist eine interessante Idee...;;;;;;;;;;;x
EVTOPTC_WCFEL_9970_tooltip;You try to make contact with the creature.\n;Vous essayez d'entrer en contact avec la créature.\n;Ihr versucht, Kontakt zu der Kreatur herzustellen.\n;;;;;;;;;;;x
EVTDESC_WCFEL_9971;The ritual has been prepared to the voice’s specifications. You throw a strange green powder into the fire, which begins to let off green sparks. In the flames you see a silhouette, enveloped in an aura of Fel magic. The silhouette, which you increasingly suspect is a powerful demon, begins to speak with you, attempting to persuade you to summon it to Azeroth. But is that a good idea?;Le rituel a été préparé selon les spécifications données par la voix. Vous jetez une étrange poudre verte dans le feu, qui commence à dégager des étincelles vertes. Dans les flammes, vous voyez une silhouette, enveloppée d'une aura de magie gangrenée. La silhouette, que vous soupçonnez de plus en plus d'être un puissant démon, commence à vous parler, essayant de vous persuader de l'invoquer en Azeroth. Mais est-ce une bonne idée ?;Ihr habt Euch auf das Ritual vorbereitet. Ihr habt ein seltsames grünes Pulver ins Feuer geworfen, welches in Grüntönen zu Funkeln begann und seht eine Gestalt, die in eine Aura aus Felmagie gehüllt ist. Ihr sprecht mit einer mächtigen Kreatur aus dem wirbelnden Nether, und sie fordert Euch auf, sie nach Azeroth zu bringen. Ob das eine gute Idee ist?;;;;;;;;;;;x
EVTOPTA_WCFEL_9971;I don't want to make pacts with demons!;Je ne veux pas faire de pactes avec les démons !;Ich werde keinen Pakt mit irgendwelchen Dämonen eingehen!;;;;;;;;;;;x
EVTOPTB_WCFEL_9971;Sounds interesting... but what will I get in return?;Cela semble intéressant... mais qu'obtiendrais-je en retour ?;Klingt... interessant... Aber was erhalte ich dafür?;;;;;;;;;;;x
EVTOPTB_WCFEL_9971_tooltip;You try to make a better deal with the demon.\n;Vous essayez de faire un meilleur marché avec le démon.\n;Ihr versucht, einen besseren Pakt mit dem Dämonen abzuschließen.\n;;;;;;;;;;;x
EVTOPTC_WCFEL_9971;This is a very tempting offer...;C'est une offre très tentante...;Das ist ein sehr verlockendes Angebot.;;;;;;;;;;;x
EVTOPTC_WCFEL_9971_tooltip;You make a deal with the demon.\n;Vous concluez un marché avec le démon.\n;Ihr schließt einen Pakt mit dem Dämon.\n;;;;;;;;;;;x
EVTDESC_WCFEL_9972;In order to create a short-term rift between Azeroth and the Twisting Nether, you will need to sacrifice a sentient life. Fortunately, you know of a excellent candidate - [target_victim_for_ritual.GetTitledFirstName]. No one will notice [From.GetHerHis] disappearance.;Pour créer une déchirure temporaire entre Azeroth et le Néant distordu, il faut sacrifier la vie de quelqu'un. Heureusement, il existe un bon candidat au sein de votre cour : [target_victim_for_ritual.GetTitledFirstName]. Personne ne remarquera sa disparition.;Um eine kurzzeitige Verbindung zwischen Azeroth und dem wirbelnden Nether zu schaffen, müsst Ihr ein fühlendes Wesen opfern. Glücklicherweise kennt Ihr einen ausgezeichneten Kandidaten - [target_victim_for_ritual.GetTitledFirstName]. Niemand wird [From.GetHerHis] Verschwinden bemerken.;;;;;;;;;;;x
EVTOPTA_WCFEL_9972;Not a great loss.;Ce n'est pas une grande perte.;Kein großer Verlust.;;;;;;;;;;;x
EVTOPTA_WCFEL_9972_tooltip;You continue with the preparations for the ritual.\n;Vous continuez les préparatifs pour le rituel.\n;Ihr fahrt mit den Vorbereitungen für das Ritual fort.\n;;;;;;;;;;;x
EVTOPTB_WCFEL_9972;What was I thinking! I must put an end to this at once.;Que me passe-t-il par la tête ? Je dois y mettre fin immédiatement.;Was habe ich mir nur dabei gedacht? Ich muss dem sofort ein Ende machen.;;;;;;;;;;;x
EVTDESC_WCFEL_9973;You have begun the next ritual. By sacrificing a sentient being's life, you manage to tear open a temporary rift that bridges the gap between Azeroth and the Twisting Nether. Seconds later, you see the figure of [Root.GetDemonTypeOutcome];Vous avez commencé le prochain rituel. En sacrifiant la vie d'un être sensible, vous parvenez à ouvrir une brèche temporaire qui comble le fossé entre Azeroth et le Néant distordu. Quelques secondes plus tard, vous voyez la silhouette d'une [Root.GetDemonTypeOutcome].;Ihr habt das nächste Ritual begonnen. Durch die Opferung eines fühlenden Wesens gelingt es Euch, einen vorübergehenden Riss zwischen Azeroth und dem wirbelnden Nether zu öffnen. Sekunden später erscheint die Gestalt [Root.GetDemonTypeOutcome].;;;;;;;;;;;x
GetDemonTypeOutcome_deceitful_nathrezim;a two-legged creature with wings and hooves. It stands upright before leaping on to you and firmly gripping your neck. “Now I shall take your place in this world, worm!”;une créature à deux pattes avec des ailes et des sabots. Elle se tient debout avant de bondir sur vous et de vous serrer fermement le cou. « Maintenant je vais prendre ta place dans ce monde, parasite ! »;eines zweibeinigen Geschöpfes mit Flügeln und Hufen. Es steht aufrecht, bevor es Euch entgegenspringt und Euren Hals fest umklammert. „Jetzt werde ich deinen Platz in dieser Welt einnehmen, elender Wurm!“;;;;;;;;;;;x
GetDemonTypeOutcome_ambitious_annihilan;a gigantic creature with wings and six limbs, but it is not alone: a small group of demons followed it into this world. The creature straightened before storming towards you. A few moments later its giant hammer swings towards you. "Fool, now we will purge this world in the name of the Burning Legion!";une créature gigantesque avec des ailes et six membres. Mais elle n'est pas seule : un petit groupe de démons l'a suivie dans ce monde. La créature s'est redressée avant de vous charger. Quelques instants plus tard, son marteau géant se balance vers vous. « Imbécide, maintenant nous allons purger ce monde au nom de la Légion ardente ! »;einer gigantischen Kreatur mit Flügeln und sechs Gliedmaßen, aber sie ist nicht allein: eine kleine Gruppe von Dämonen folgt ihr in diese Welt. Die Kreatur richtet sich auf, bevor sie auf Euch zustürmt. Wenige Augenblicke später schwingt sein riesiger Hammer auf Sie zu. „Narr, jetzt werden wir diese Welt im Namen der brennenden Legion säubern!“;;;;;;;;;;;x
GetDemonTypeOutcome_deceitful_observer;a giant levitating creature with one glaring eye. A few moments later, it materializes near you, its eye wreathed in green flame. "You are now unnecessary to me, mortal!";une créature géante en lévitation avec un seul œil. Quelques instants plus tard, elle se matérialise près de vous, son œil enveloppé d'une flamme verte. « Tu m'es maintenant inutile, mortel ! »;einer riesigen schwebenden Kreatur mit einem leuchtenden Auge. Wenige Augenblicke später materialisiert sie sich in Eurer unmittelbaren Nähe, ihr Auge in grüne Flammen gehüllt. „Du bist jetzt für mich nicht länger von Nutzen, Sterblicher!“;;;;;;;;;;;x
GetDemonTypeOutcome_normal_case;a large demon. It rises to its feet, before offering you a gift in gratitude for your help. Seconds later, it disappears.;une grande créature démoniaque. Elle se lève, avant de vous offrir un cadeau en remerciement de votre aide. Quelques secondes plus tard, elle disparaît.;eines großen Dämons. Er erhebt sich, bevor er Euch zum Dank für Eure Hilfe ein Geschenk anbietet. Kurz darauf ist er verschwunden.;;;;;;;;;;;x
GetDemonTypeOutcome_good_case;a large demon. It rises to its feet, before offering you the previously agreed upon gift as well as its loyalty in gratitude.;une grande créature démoniaque. Elle se lève, avant de vous offrir le cadeau préalablement convenu ainsi que sa loyauté en guise de gratitude.;eines großen Dämons. Er steht auf, bevor er Euch zum Dank das vorher vereinbarte Geschenk und seine Loyalität anbietet.;;;;;;;;;;;x
EVTOPTA_WCFEL_9973_bad_case;Nooooo!;Nooooooon !;NEEEEIIIIN!;;;;;;;;;;;x
EVTOPTA_WCFEL_9973_good_case_tooltip;§Y[target_summoned_demon.GetTitledFirstName]§! remains at your court.\n;§Y[target_summoned_demon.GetTitledFirstName]§! reste dans votre cour.\n;§Y[target_summoned_demon.GetTitledFirstName]§! bleibt an Eurem Hof.\n;;;;;;;;;;;x
EVTDESC_WCDAC_3940;[Root.PrimaryTitle.GetFOA], I wish to serve you and would happily obey any order you give. I hope that you will allow me to become one of your loyal vassals.\n\nSigned,\n[From.GetTitledName];[Root.PrimaryTitle.GetFOA], je souhaite vous servir et j'obéirai volontiers à tout ordre que vous me donnerez. J'espère que vous me permettrez de devenir l'un de vos loyaux vassaux.\n\nSigné,\n[From.GetTitledName];[Root.PrimaryTitle.GetFOA], ich wünsche, Euch zu dienen und befolge mit Freuden Eure Befehle. Ich hoffe, dass Ihr mir gestattet, einer Eurer treuen Vasallen zu werden.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPTC_WCFEL_9972;No, I can use one of the soul shards.;Non, je peux utiliser un des éclats d'âme.;Nicht nötig, ich kann einen meiner Seelensplitter verwenden.;;;;;;;;;;;x
EVTTITLE_WCCLS_1005;The Invasion of the Burning Legion;L'invasion de la Légion ardente;Die Invasion der brennenden Legion;;;;;;;;;;;x
EVTDESC_WCFEL_1005;The world of Azeroth is threatened once again. Demons of the Burning Legion have found a way into your world. With the great magic of [From.GetTitledFirstName], the border between Azeroth and the Twisting Nether has been erased. Hundreds of demons surge into your world through portals. The Burning Crusade has begun. The destiny of Azeroth hangs in the balance.;Le monde d'Azeroth est une fois de plus menacé. Les démons de la Légion ardente ont trouvé un chemin vers votre monde. Grâce à la puissante magie de [From.GetTitledFirstName], la frontière entre Azeroth et le Néant distordu a été effacée. Des centaines de démons se sont introduits dans votre monde par des portails. La Croisade ardente a commencé, et le destin d'Azeroth est en jeu.;Die Welt von Azeroth wird erneut bedroht. Die Dämonen der brennenden Legion haben erneut einen Weg in unsere Welt gefunden. Mit Hilfe von [From.GetTitledFirstName]s Magie und einiger mächtiger Artefakte wurde die Grenze zwischen Azeroth und dem wirbelnden Nether in der Provinz [target_summoning_location.GetName] durchbrochen und Horden dämonischer Kreaturen stürmen durch die neu geöffneten Portale. Der brennende Kreuzzug hat begonnen und das Schicksal von Azeroth hängt von seinem Ergebnis ab.;;;;;;;;;;;x
EVTOPTA_WCFEL_1005_case_01;Azeroth will fall!;Azeroth tombera !;Azeroth wird fallen!;;;;;;;;;;;x
EVTOPTA_WCFEL_1005_case_02;The Burning Legion must be stopped!;La Légion ardente doit être arrêtée !;Die brennende Legion muss gestoppt werden!;;;;;;;;;;;x
EVTTITLE_WCCLS_1010;The Defeat of the Burning Legion;La défaite de la Légion ardente;Die Niederlage der brennenden Legion;;;;;;;;;;;x
EVTDESC_WCFEL_1010;The armies of the Burning Legion have been defeated! Only a handful of demons attempted to continue the war effort in Azeroth, but they are nothing compared to the superior armies defending this world.\n\nThe leader of the invasion, [target_legion_overlord.GetTitledFirstName] has been banished, and it is unlikely that he will lead a new invasion.\n\nThankfully, it is unlikely that the armies of demons of the Burning Legion will attempt to take over our world again in the near future.;Les armées de la Légion ardente ont été vaincues ! Seule une poignée de démons tente de poursuivre l'effort de guerre en Azeroth, mais ils ne sont rien comparés à nos armées supérieures. Le chef de l'invasion, [target_legion_overlord.GetTitledFirstName] a été banni, et il est peu probable qu'il en dirige une nouvelle. Heureusement, il est peu probable que les armées de démons de la Légion ardente tentent de reprendre le contrôle de notre monde dans un avenir proche.;Die Armeen der brennenden Legion wurden besiegt! Nur eine Handvoll Dämonen versuchen, den Krieg gegen Azeroth fortzusetzen, aber sie stellen keine Gefahr mehr dar. Der Anführer dieser Invasion, [target_legion_overlord.GetTitledFirstName], wurde verbannt und es ist unwahrscheinlich, dass er eine weitere Invasion anführen wird. Zweifellos werden die Dämonenhorden der brennenden Legion erneut versuchen, diese Welt zu erobern, aber nicht in der nahen Zukunft.;;;;;;;;;;;x
#LINE_REMOVED_DONT_TOUCH;After many trials and tribulations, Azeroth has been saved!;Après de nombreuses épreuves, Azeroth a été sauvé !;Nach vielen Schwierigkeiten und Prüfungen ist Azeroth endlich wieder sicher!;;;;;;;;;;;x
#LINE_REMOVED_DONT_TOUCH;The Burning Legion will return...;La Légion ardente reviendra...;Die brennende Legion wird zurückkehren...;;;;;;;;;;;x
has_access_to_powerful_source_of_magic_tooltip;Has access to §YPowerful Magical Source§!;A accès à §Ysources magiques puissantes§!;Hat Zugriff auf eine mächtige Magiequelle;;;;;;;;;;;x
has_powerful_magical_artifact_trigger_tooltip;Has §YPowerful Magical Artifact§!;A un §Yartefact magique puissant§!;Besitzt ein mächtiges magisches Artefakt;;;;;;;;;;;x
EVTDESC_WCBDP_60_horde;The expedition of the Horde passed through the shroud of the Dark Portal and is ready to gain a foothold in this new wild world. Our once beautiful world now resembles an immense wasteland. Without food. Without water. Without life. Nevertheless, here you can still survive...\nHere, among the red sands, stands the Hellfire Citadel, our very first bastion against invaders from the world of Azeroth. Now it belongs to the orcs of Ner'zhul, and the sorcerer himself tries to open portals to other worlds.\nThe main attack on the fortress seems insane to many. The elders propose to take a small fortress near the portal and acquire a fleet to strike at the enemy from the flanks. This can ease the battle to come in the future.;L'expédition de la Horde est passée à travers la Porte des ténèbres et s'apprête à prendre pied dans ce nouveau monde inconnu. Notre monde autrefois magnifique ressemble désormais à une immense terre désolée. Sans nourriture, sans eau, sans vie. Néanmoins, ici, vous pouvez encore survivre...\nIci, parmi le sable rouge, se dresse la citadelle des Flammes infernales, notre tout premier bastion contre les envahisseurs du monde d'Azeroth. Elle appartient maintenant aux Orcs de Ner'zhul, et le sorcier lui-même tente d'ouvrir des portails vers d'autres mondes.\nL'attaque principale de la forteresse semble folle pour beaucoup. Les anciens proposent de prendre une petite forteresse près du portail et d'acquérir une flotte pour frapper l'ennemi par les flancs. Cela peut faciliter la bataille à venir.;Die Expeditionsstreitmacht der Horde durchquerte den Schleier des dunklen Portals und ist bereit, in dieser neuen, wilden Welt Fuß zu fassen. Unsere einst schöne Welt gleicht jetzt einem riesigen Ödland - ohne Essen, ausgetrocknet und leblos. Trotzdem kann man hier noch überleben...\nHier steht inmitten des roten Sandes die Höllenfeuerzitadelle, unsere erste Bastion gegen Eindringlinge aus der Welt von Azeroth. Jetzt liegt es bei Ner’zhuls Orks, weitere Portale in andere Welten zu öffnen.\nDer Frontalangriff auf die Festung erscheint vielen verrückt. Die Ältesten schlagen vor, eine kleine Festung in der Nähe des Portals zu errichten und eine Flotte zu bauen, um dem Feind in die Flanke zu fallen. Dies könnte die bevorstehende Schlacht zu unseren Gunsten wenden.;;;;;;;;;;;x
EVTOPTA_WCBDP_50_horde;Lok'tar Ogar! Call the grunts!;Lok'tar Ogar ! Appelez les grunts !;Lok’tar Ogar! Versammelt die Grunzer!;;;;;;;;;;;x
EVTOPTC_WCBDP_50_horde;Why do we need this cursed place?;Pourquoi avons-nous besoin de cet endroit maudit ?;Warum brauchen wir diesen verdammten Frieden, mit ganz Azeroth in Reichweite?;;;;;;;;;;;x
EVTOPTA_WCBDP_60_horde;It's very unlikely we'll take such a structure with ease.;Il est très peu probable que nous prenions une telle structure avec facilité.;Die Orks haben diese Zitadelle aus Stein und Stahl errichtet. Es ist äußerst unwahrscheinlich, dass wir eine solche Anlage mit Leichtigkeit erobern werden.;;;;;;;;;;;x
EVTOPTB_WCBDP_60_horde;What? Are you cowards?! Lok'tar ogar!;Quoi ? Êtes-vous des lâches ? Lok'tar Ogar !;Was seid ihr, Feiglinge?! LOK'TAR OGAR!;;;;;;;;;;;x
EVTDESC_WCBDP_65_horde;In the area known as "Gorgrond", a forested region with large spikey outcroppings, overgrown wildthorns, and brutish creatures, we have discovered a strange people: a group of orcs known as the Laughing Skull Clan. The most distinguishing trait of these people is their tendency to laugh, riding on chitin-shelled wasps and oversized insects. They are fond of a type of mask that they wear, which is made from chitin or bone. It seems as though that they may become good allies - if we are to ignore past indiscretions. Their leader, an ogre by the name of Mogor, is willing to help us as a gesture of goodwill. Should we accept their help? The Laughing Skulls are rather unsavory... can we really ally them?;Dans la région connue sous le nom de « Gorgrond », une région boisée, jonchée d'épines envahies par la végétation et de créatures bruyantes, nous avons découvert un peuple étrange : un groupe d'Orcs appartenant au clan du Crâne-Ricanant. Le trait le plus distinctif de ce peuple est sa tendance à rire et à chevaucher des guêpes et des insectes surdimensionnés. Ils aiment le type de masque qu'ils portent, fabriqué à partir d'os. Il semble qu'ils puissent devenir de bons alliés, si nous voulons ignorer les indiscrétions du passé. Leur chef, un ogre du nom de Mogor, est prêt à nous aider en signe de bonne volonté. Devrions-nous accepter leur aide ? Le Crâne-Ricanant est plutôt peu recommandable... Pouvons-nous vraiment pactiser avec eux ?;In Gorgrond, einer bewaldeten Region mit scharfen Dornen überwachsen, stießen wir auf ein seltsames Völkchen: Orks vom Laughing-Skull-Clan. Ihre herausragendste Eigenschaft besteht in ihrer Neigung, ständig zu lachen und zu grinsen, während sie auf chitingeschützten Riesenwespen und anderen übergroßen Insekten reiten und unheimliche Chitinmasken auf ihren Gesichtern tragen. Außerdem scheinen sie die Horde ebenfalls zu hassen. Sie könnten passable Verbündete abgeben. Ihr Anführer, der Oger Mogor, hat Ner'zhul das Buch des Medivh gestohlen und ist bereit, es uns als Geste des guten Willens zu übergeben. Aber sollten wir ihr Geschenk annehmen? Dieser Ork-Clan wirkt verrückt und abstoßend... können wir uns wirklich mit ihnen verbünden?;;;;;;;;;;;x
EVTOPTA_WCBDP_65_horde;Wonderful! Let's discuss working together!;Parfait ! Discutons de la possibilité de travailler ensemble !;Wunderbar! Lasst uns unser Bündnis besiegeln!;;;;;;;;;;;x
