#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
creature_human;Human;Humain;Mensch;;;;;;;;;;;x
class_rogue_2;Novice Rogue II;;Wegelagerer[From.GetinFemale] II;;;;;;;;;;;x
class_rogue_2_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_3;Apprentice Rogue III;;Freischärler[From.GetinFemale] III;;;;;;;;;;;x
class_rogue_3_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_4;Experienced Rogue IV;;Schleicher[From.GetinFemale] IV;;;;;;;;;;;x
class_rogue_4_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_5;Skilled Rogue V;;Dieb[From.GetinFemale] V;;;;;;;;;;;x
class_rogue_5_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_6;Expert Rogue VI;;Schurk[From.GeteFemaleOpp][From.GetinFemale] VI;;;;;;;;;;;x
class_rogue_6_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_7;Great Rogue VII;;Rädelsführer[From.GetinFemale] VII;;;;;;;;;;;x
class_rogue_7_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_8;Master Rogue VIII;;Attentäter[From.GetinFemale] VIII;;;;;;;;;;;x
class_rogue_8_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_9;Grand Master Rogue IX;;Königsmörder[From.GetinFemale] IX;;;;;;;;;;;x
class_rogue_9_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_rogue_10;Legendary Rogue X;;Legendäre[From.GetrMale] Schurk[From.GeteFemaleOpp][From.GetinFemale] X;;;;;;;;;;;x
class_rogue_10_desc;Rogues are proficient in assassination, subterfuge, and disguise. Their sense of honor balances on the edge of a coin, and they are rarely found fighting on even terms.;;Schurken beherrschen Attentate, Täuschung und Verkleidung. Ihr Ehrgefühl balanciert auf dem Rand einer Münze, und sie kämpfen nur selten unter fairen Bedingungen.;;;;;;;;;;;x
class_warlock_1;Worthless Warlock I;;Nutzlose[From.GetrMale] Hexenmeister[From.GetinFemale] I;;;;;;;;;;;x
class_warlock_1_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_2;Novice Warlock II;;Hexenmeisternoviz[From.GeteMale][From.GetinFemale] II;;;;;;;;;;;x
class_warlock_2_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_3;Apprentice Warlock III;;Hexenmeisterlehrling III;;;;;;;;;;;x
class_warlock_3_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_4;Experienced Warlock IV;;Erfahrene[From.GetrMale] Hexenmeister[From.GetinFemale] IV;;;;;;;;;;;x
class_warlock_4_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_5;Skilled Warlock V;;Begabte[From.GetrMale] Hexenmeister[From.GetinFemale] V;;;;;;;;;;;x
class_warlock_5_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_6;Expert Warlock VI;;Dämonolog[From.GeteMale][From.GetinFemale] VI;;;;;;;;;;;x
class_warlock_6_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_7;Great Warlock VII;;Große[From.GetrMale] Hexenmeister[From.GetinFemale] VII;;;;;;;;;;;x
class_warlock_7_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_8;Master Warlock VIII;;Meisterhexenmeister[From.GetinFemale] VIII;;;;;;;;;;;x
class_warlock_8_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_9;Grand Master Warlock IX;;Großhexenmeister[From.GetinFemale] IX;;;;;;;;;;;x
class_warlock_9_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_warlock_10;Legendary Warlock X;;Legendäre[From.GetrMale] Hexenmeister[From.GetinFemale] X;;;;;;;;;;;x
class_warlock_10_desc;Warlocks are ruthless practitioners of Fel and Shadow magic. Their hunger for power is nigh insatiable, leading them to draw pacts with rather unsavory benefactors including demons or creatures of the void.;;Hexenmeister praktizieren rücksichtslos Fel- und Schattenmagie. Ihr Machthunger ist nahezu unersättlich, was sie dazu brachte, Pakte mit recht widerlichen Förderern zu schließen, darunter Dämonen oder Kreaturen der Leere.;;;;;;;;;;;x
class_shaman_1;Worthless Shaman I;;Nutzlose[From.GetrMale] Schaman[From.GeteFemaleOpp][From.GetinFemale] I;;;;;;;;;;;x
class_shaman_1_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_2;Novice Shaman II;;Schamanennoviz[From.GeteFemaleOpp][From.GetinFemale] II;;;;;;;;;;;x
class_shaman_2_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_3;Apprentice Shaman III;;Sturmrufer[From.GetinFemale] III;;;;;;;;;;;x
class_shaman_3_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_4;Experienced Shaman IV;;Erdrufer[From.GetinFemale] IV;;;;;;;;;;;x
class_shaman_4_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_5;Skilled Shaman V;;Feuerrufer[From.GetinFemale] V;;;;;;;;;;;x
class_shaman_5_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_6;Expert Shaman VI;;Sturmbot[From.GeteFemaleOpp][From.GetinFemale] VI;;;;;;;;;;;x
class_shaman_6_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_7;Great Shaman VII;;Erdbot[From.GeteFemaleOpp][From.GetinFemale] VII;;;;;;;;;;;x
class_shaman_7_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_8;Master Shaman VIII;;Feuerbot[From.GeteFemaleOpp][From.GetinFemale] VIII;;;;;;;;;;;x
class_shaman_8_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_9;Grand Master Shaman IX;;Weltenschaman[From.GeteFemaleOpp][From.GetinFemale] IX;;;;;;;;;;;x
class_shaman_9_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_shaman_10;Legendary Shaman X;;Legendäre[From.GetrMale] Schaman[From.GeteFemaleOpp][From.GetinFemale] X;;;;;;;;;;;x
class_shaman_10_desc;Shamans commune with the natural elemental spirits of the world around them. Should the elements look upon the Shaman with benevolence, they can choose to lend their strength to the Shaman, providing them with supernatural destructive and restorative capabilities.;;Die Schamanen kommunizieren mit den natürlichen Elementargeistern der Welt um sie herum. Wenn die Elemente den Schamanen mit Wohlwollen betrachten, können sie wählen, ob sie dem Schamanen ihre Kraft verleihen und ihn mit übernatürlichen zerstörerischen und heilbringenden Fähigkeiten ausstatten.;;;;;;;;;;;x
class_druid_1;Worthless Druid I;;Nutzlose[From.GetrMale] Druid[From.GeteMale][From.GetinFemale] I;;;;;;;;;;;x
class_druid_1_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_2;Novice Druid II;;Druidennoviz[From.GeteMale][From.GetinFemale] II;;;;;;;;;;;x
class_druid_2_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_3;Apprentice Druid III;;Druidenlehrling III;;;;;;;;;;;x
class_druid_3_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_4;Experienced Druid IV;;Erfahrene[From.GetrMale] Druid[From.GeteMale][From.GetinFemale] IV;;;;;;;;;;;x
class_druid_4_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_5;Skilled Druid V;;Wilde[From.GetrMale] Druid[From.GeteMale][From.GetinFemale] V;;;;;;;;;;;x
class_druid_5_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_6;Expert Druid VI;;Druid[From.GeteMale][From.GetinFemale] des Waldes VI;;;;;;;;;;;x
class_druid_6_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_7;Great Druid VII;;Große[From.GetrMale] Druid[From.GeteMale][From.GetinFemale] VII;;;;;;;;;;;x
class_druid_7_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_8;Master Druid VIII;;Meisterdruid[From.GeteMale][From.GetinFemale] VIII;;;;;;;;;;;x
class_druid_8_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_9;Grand Master Druid IX;;Großmeisterdruid[From.GeteMale][From.GetinFemale] IX;;;;;;;;;;;x
class_druid_9_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_druid_10;Legendary Druid X;;Legendäre[From.GetrMale] Druid[From.GetinFemale][From.GeteFemaleOpp] X;;;;;;;;;;;x
class_druid_10_desc;Druids aim to preserve balance and protect living things. Though Druidism is primarily a philosophy, Druids have the fury of nature at their beck and call, and are willing to use it against those who threaten the natural order of life.;;Druiden sind bestrebt, das Gleichgewicht zu erhalten und Lebewesen zu schützen. Obwohl das Druidentum in erster Linie eine Philosophie ist, haben die Druiden die Wildheit der Natur im Griff und sind bereit, sie gegen diejenigen einzusetzen, die die natürliche Lebensordnung bedrohen.;;;;;;;;;;;x
class_loa_priest_1;Worthless Loa Priest I;;Nutzlose[From.GetrMale] Loa-Priester[From.GetinFemale] I;;;;;;;;;;;x
class_loa_priest_1_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_2;Novice Loa Priest II;;Loa-Noviz[From.GeteFemaleOpp][From.GetinFemale] II;;;;;;;;;;;x
class_loa_priest_2_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_3;Apprentice Loa Priest III;;Loa-Lehrling III;;;;;;;;;;;x
class_loa_priest_3_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_4;Experienced Loa Priest IV;;Erfahrene[From.GetrMale] Loa-Priester[From.GetinFemale] IV;;;;;;;;;;;x
class_loa_priest_4_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_5;Skilled Loa Priest V;;Begabte[From.GetrMale] Loa-Priester[From.GetinFemale] V;;;;;;;;;;;x
class_loa_priest_5_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_6;Expert Loa Priest VI;;Voodoodoktor[From.GetinFemale] VI;;;;;;;;;;;x
class_loa_priest_6_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_7;Great Loa Priest VII;;Große[From.GetrMale] Loa-Priester[From.GetinFemale] VII;;;;;;;;;;;x
class_loa_priest_7_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_8;Master Loa Priest VIII;;Meisterhafte[From.GetrMale] Loa-Priester[From.GetinFemale] VIII;;;;;;;;;;;x
class_loa_priest_8_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_9;Grand Master Loa Priest IX;;Großmeisterloapriester[From.GetinFemale] IX;;;;;;;;;;;x
class_loa_priest_9_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_loa_priest_10;Legendary Loa Priest X;;Legendäre[From.GetrMale] Loa-Priester[From.GetinFemale] X;;;;;;;;;;;x
class_loa_priest_10_desc;Loa Priests focus their veneration on Troll deities known as the Loa. These priests reap the benefits of their dedicated Loa receiving benefits such as regeneration, strength, and agility.;;Die Loa-Priester richten ihre Verehrung auf die Troll-Gottheiten, die als die Loa bekannt sind. Diese Priester genießen die Vorteile ihres eigenen Loa, wie Regeneration, Kraft und Beweglichkeit.;;;;;;;;;;;x
class_death_knight_1;Worthless Death Knight I;;Nutzlose[From.GetrMale] Todesritter[From.GetinFemale] I;;;;;;;;;;;x
class_death_knight_1_desc;Death Knights combine an unnatural mastery of melee weapon with dark, necromantic magic. The Death Knight uses dark magic and supernatural strength to rend through the living and other unfortunate victims.;;Todesritter kombinieren übernatürliche Beherrschung des Nahkampfes mit dunkler, nekromantischer Magie. Der Todesritter nutzt dunkle Magie und übernatürliche Kraft, um die Lebenden und andere unglückliche Opfer zu überwältigen.;;;;;;;;;;;x
class_death_knight_2;Novice Death Knight II;;Todesritternoviz[From.GeteFemaleOpp][From.GetinFemale] II;;;;;;;;;;;x
class_death_knight_2_desc;Death Knights combine an unnatural mastery of melee weapon with dark, necromantic magic. The Death Knight uses dark magic and supernatural strength to rend through the living and other unfortunate victims.;;Todesritter kombinieren übernatürliche Beherrschung des Nahkampfes mit dunkler, nekromantischer Magie. Der Todesritter nutzt dunkle Magie und übernatürliche Kraft, um die Lebenden und andere unglückliche Opfer zu überwältigen.;;;;;;;;;;;x
class_death_knight_3;Apprentice Death Knight III;;Todesritterlehrling III;;;;;;;;;;;x
class_death_knight_3_desc;Death Knights combine an unnatural mastery of melee weapon with dark, necromantic magic. The Death Knight uses dark magic and supernatural strength to rend through the living and other unfortunate victims.;;Todesritter kombinieren übernatürliche Beherrschung des Nahkampfes mit dunkler, nekromantischer Magie. Der Todesritter nutzt dunkle Magie und übernatürliche Kraft, um die Lebenden und andere unglückliche Opfer zu überwältigen.;;;;;;;;;;;x
class_death_knight_4;Experienced Death Knight IV;;Erfahrene[From.GetrMale] Todesritter[From.GetinFemale] IV;;;;;;;;;;;x
