#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
wc_keep1_fel;Demon Outpost;Avant-poste de la Légion;Dämonischer Außenposten;;;;;;;;;;;x
wc_temple3_fel_desc;A hellish tower which spawns forth many demons and gathers to it legions of hapless horrors for which fel energy gives life to. Demonic energies pulse from this unnatural sanctum.;;Dämonischer Turm;;;;;;;;;;;x
wc_temple4_fel_desc;A darkly lit temple dedicated to decaying bodies of demons and a place of worship for the Legion's more pious members, dedicating itself to keeping demons focused on the ultimate goal of the Legion's dark mission.;;Dämonischer Tempel;;;;;;;;;;;x
wc_inqu1_fel;Inquisitor's Office;Office des inquisiteurs;Büro des Inquisitors;;;;;;;;;;;x
wc_inqu2_fel;Demon Torture Chamber;Chambre de torture;Dämonische Folterkammer;;;;;;;;;;;x
wc_inqu3_fel;Interrogation Quarter;Quartiers d'interrogatoires;Verhörquartiere;;;;;;;;;;;x
wc_inqu4_fel;Demon Prison;Prison démoniaque;Dämonisches Gefängnis;;;;;;;;;;;x
wc_inqu1_fel_desc;The personal office of a Legion Inquisitor, in which a dedicated spymaster and corruptor of the Legion performs their day to day tasks.;;Büro des Inquisitors;;;;;;;;;;;x
wc_inqu2_fel_desc;A demon's personal torture chamber, where atrocities of all kinds are inflicted on disloyal, incompetent, or worthless demon ilk to teach important lessons.;;Dämonische Folterkammer;;;;;;;;;;;x
wc_inqu3_fel_desc;A room of various torture devices and countless discarded trophies of Legion Inquisitors, in which they pry information from their victims with increasing cruelty.;;Verhörquartiere;;;;;;;;;;;x
wc_inqu4_fel_desc;A number of prison cells which is patrolled by Legion Jailers, keeping the souls of countless damned in infernal bindings, tearing from them their wills and souls alike.;;Dämonisches Gefängnis;;;;;;;;;;;x
wc_felmage1_fel;Inquisitor Enclave;Enclave d'inquisiteurs;Enklave der Inquisitoren;;;;;;;;;;;x
wc_felmage2_fel;Inquisitor Garrison;Garnison d'inquisiteurs;Garnison der Inquisitoren;;;;;;;;;;;x
wc_felmage3_fel;Man'ari Enclave;Enclave de man'ari;Man'ari-Enklave;;;;;;;;;;;x
wc_felmage4_fel;Man'ari Garrison;Garnison de man'ari;Man'ari-Garnison;;;;;;;;;;;x
wc_felmage1_fel_desc;A enclave of Legion Jailers and their retinues, normally going about their business corrupting and spying upon the Legion's enemies.;;Enklave der Inquisitoren;;;;;;;;;;;x
wc_felmage2_fel_desc;A barracks of Inquisitors and their thrallish minions, performing their dark arts within the safe confines of their powerful prison complexes.;;Garnison der Inquisitoren;;;;;;;;;;;x
wc_felmage3_fel_desc;A elite garrison of Man'ari soldiers and sorcerers which are provided with weapons and armor for their zealous tasks, and proper training grounds to hone their skills.;;Man'ari-Enklave;;;;;;;;;;;x
wc_felmage4_fel_desc;A fortress home of Man'ari soldiers and warlocks, which are well provided with armories and mage quarters to help them serve the legion better.;;Man'ari-Garnison;;;;;;;;;;;x
wc_felrelic1_fel;Chamber of Dark Powers;Chambre des Forces des Ténèbre;Kammer der dunklen Macht;;;;;;;;;;;x
wc_felrelic2_fel;Shrine of the Deceiver;Cercle du Trompeur;Schrein des Betrügers;;;;;;;;;;;x
wc_felrelic3_fel;Vault of the Defiler;Voûte du Profanateur;Gewölbe des Schänders;;;;;;;;;;;x
wc_felrelic4_fel;Altar of the Dark Titan;Autel du Titan Noir;Altar des dunklen Titanen;;;;;;;;;;;x
wc_felrelic1_fel_desc;A chamber of unstable fel energies in which demons and warlocks bathe in to enhance their already considerable dark powers.;;Kammer der dunklen Macht;;;;;;;;;;;x
wc_felrelic2_fel_desc;A shrine dedicated to Kil'Jaden the Deciever, where naive demons and minions go to try to commune and make pacts with their deceptive overlord.;;Schrein des Betrügers;;;;;;;;;;;x
wc_felrelic3_fel_desc;A personal reliquary of Archimonde the Defiler, where many of his favored relics and trophies are stored from his conquests, but also serve a purpose of helping to enhance powerful warlocks further.;;Gewölbe des Schänders;;;;;;;;;;;x
wc_felrelic4_fel_desc;A morbid altar of the Dark Titan, who is said to grant his boon to those who faithfully serve his cause. Many warlocks attempt to garner his favor, few succeed.;;Altar des dunklen Titanen;;;;;;;;;;;x
wc_templeport1_fel;Fel Incursion;;Einfall des Fel;;;;;;;;;;;x
wc_templeport2_fel;Unstable Portway;;Instabiles Portal;;;;;;;;;;;x
wc_templeport3_fel;Demonic Portal;;Dämonisches Portal;;;;;;;;;;;x
wc_templeport4_fel;Legion Portway;;Portal der Legion;;;;;;;;;;;x
wc_templeport1_fel_desc;A small number of scattered legion portals which pop in and out of existence, allowing a number of demons gather on through.;;Eine kleine Anzahl von verstreuten Legionsportalen, die auftauchen und wieder verschwinden und einer Reihe von Dämonen erlauben, sich auf dieser Seite zu versammeln.;;;;;;;;;;;x
wc_templeport2_fel_desc;A unstable portway within the temple's core, kept open to a legion world which allows more advanced demonic entities to step on through.;;Ein instabiles Portal im Inneren des Tempels, offen gehalten zu einer Welt der Legion, die es komplexeren dämonischen Wesen erlaubt, sie zu durchschreiten.;;;;;;;;;;;x
wc_templeport3_fel_desc;A demonic portal to a Legion world, maintained by a cabal of warlocks which helps support a more powerful number of demonic minions.;;Ein dämonisches Portal zu einer Welt der Legion, das von einer Gruppe von Hexenmeistern aufrecht erhalten wird, was dazu beiträgt, eine größere Anzahl von dämonischen Dienern zu unterstützen.;;;;;;;;;;;x
wc_templeport4_fel_desc;A portway to a demon world, allowing a larger group of demonic entities to pour on through to serve the Legion.;;Ein Portal zu einer Dämonenwelt, das es einer größeren Gruppe von dämonischen Wesen erlaubt, in diese Welt über zu wechseln, um der Legion zu dienen.;;;;;;;;;;;x
wc_warlocks1_fel;Warlock Tower;Tour des démonistes;Turm des Hexenmeisters;;;;;;;;;;;x
wc_warlocks2_fel;Fel Library;Bibliothèque impie;Bibliothek des Fel;;;;;;;;;;;x
wc_warlocks3_fel;Demon Laboratory;Laboratoire de démons;Dämonisches Laboratorium;;;;;;;;;;;x
wc_warlocks4_fel;Council of Warlocks;Conseil des Démonistes;Rat der Hexenmeister;;;;;;;;;;;x
wc_warlocks1_fel_desc;The tower of a powerful Legion warlock, supporting the legion's increasing need to pour into the world.;;Der Turm eines mächtigen Hexenmeisters der Legion, der das wachsende Bedürfnis der Legion unterstützt, in die Welt zu gelangen.;;;;;;;;;;;x
wc_warlocks2_fel_desc;A vast demon library of warlock tomes on lore and magic, a study for which Legion Warlocks partake in various summoning activities.;;Eine riesige dämonische Bibliothek von Zauberbändern über Sagen und Magie, ein Studierzimmer, in dem die Hexenmeister der Legion an diversen Beschwörungen teilnehmen.;;;;;;;;;;;x
wc_warlocks3_fel_desc;The laboratory of local demon chemists and their warlock master, helping to study Fel magic and its effects to improve demonic knowledge.;;Das Labor der lokalen dämonischen Alchemisten und ihres Hexenmeisters, das hilft, die Fel-Magie und ihre Auswirkungen zu untersuchen, um das dämonische Wissen zu vertiefen.;;;;;;;;;;;x
wc_warlocks4_fel_desc;A council of Legion warlocks and their thralls, dedicated to aiding demon kind and the legion's grander efforts.;;Ein Rat von Hexenmeistern der Legion und ihren Leibeigenen, der sich der Unterstützung der Dämonen und der größeren Aufgaben der Legion widmet.;;;;;;;;;;;x
wc_templeship1_fel;Demonic Pier;;Dämonischer Kai;;;;;;;;;;;x
wc_templeship2_fel;Demonic Shipyard;;Dämonische Werft;;;;;;;;;;;x
wc_templeship3_fel;Demonic Harbor;;Dämonischer Hafen;;;;;;;;;;;x
wc_templeship4_fel;Demonic Marina;;Dämonischer Yachthafen;;;;;;;;;;;x
wc_templeship1_fel_desc;A corrupted ruin of a shipyard, now used by demons to help maintain a sizable naval presence.;;Eine verderbte Ruine einer Werft, die heute von Dämonen benutzt wird, um eine beachtliche Marine zu erhalten.;;;;;;;;;;;x
wc_templeship2_fel_desc;A Legion shipyard where demonic ships and transports are built and stationed.;;Eine Legionswerft, in der dämonische Schiffe und Transportfahrzeuge konstruiert und stationiert werden.;;;;;;;;;;;x
wc_templeship3_fel_desc;A sizable legion naval base in which a number of demonic vessels are stored, maintained, and manned by demon sailors to help transport their burning armies.;;Ein großer Legionshafen, in dem eine Reihe von dämonischen Schiffen vor Anker liegen, gewartet und mit dämonischen Seeleuten besetzt werden, um ihre brennenden Armeen zu transportieren.;;;;;;;;;;;x
wc_templeship4_fel_desc;A huge bastion of demonic activity dedicated to manning demonic ships destined to spread along the legion's vast and evil hosts.;;Eine riesige Bastion dämonischer Aktivität, die der Besatzung dämonischer Schiffe gewidmet ist, die zur Verbreitung der gewaltigen und teuflischen Heerscharen der Legion bestimmt sind.;;;;;;;;;;;x
wcfo_tower_1_fel_group;Fel Walls;Gangremurs;Fel-Mauern;;;;;;;;;;;x
wcfo_tower_2_fel_group;Burning Walls;Murs ardents;Brennende Mauern;;;;;;;;;;;x
wcfo_patrols_1_fel_group;Demon Portals;Portails démoniaques;Dämonische Portale;;;;;;;;;;;x
wcfo_patrols_2_fel_group;Infernal Portals;Portails infernaux;Höllenbestienportale;;;;;;;;;;;x
wcfo_tower_1_desc_fel_group;Walls of emerald-tinted metal surround this fort, protecting it from light skirmishes.;;Mauern aus smaragdgrünem Metall umgeben dieses Fort und schützen es vor leichten Scharmützeln.;;;;;;;;;;;x
wcfo_tower_2_desc_fel_group;The walls of this fort have become infused with fel-fire, creating a difficult situation for an assaulting force to overcome.;;Die Mauern dieses Forts sind mit Fel-Feuer durchdrungen, was einen Angriff erschwert.;;;;;;;;;;;x
wcfo_patrols_1_desc_fel_group;Smaller portals have been established within this fort, allowing for quick regarrisoning.;;In diesem Fort wurden kleinere Portale eingerichtet, die schnellen Nachschub ermöglichen.;;;;;;;;;;;x
wcfo_patrols_2_desc_fel_group;Larger portals allowing for infernals have opened up greatly increasing the strength of the garrison here.;;Größere Portale, die die Herbeirufung von Höllenbestien ermöglichen, haben sich geöffnet und erhöhen die Stärke dieser Garnison erheblich.;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
